title,description,responsibilities,qualifications,category,location,job_type,job_nature,salary,company_name,vacancy,published_on,deadline,company_description,image,admin_id,latitude,longitude
Software developer ,need good skill,decent,BCA,IT,Chennai,Full-time,Office,120000,Tech-venturehub,5,2025-05-01,2025-05-06,Good,uploads\angiola-harry-nJv6xnlpNaA-unsplash.jpg,1,13.0449408,80.19968
Software developer ,need good skill,decent,BCA,IT,Chennai,Full-time,Office,120000,Tech-venturehub,5,2025-05-01,2025-05-06,Good,uploads\angiola-harry-nJv6xnlpNaA-unsplash.jpg,1,13.0449408,80.19968
Software developer ,need good skill,decent,BCA,IT,Chennai,Full-time,Office,120000,Tech-venturehub,5,2025-05-01,2025-05-06,Good,uploads\angiola-harry-nJv6xnlpNaA-unsplash.jpg,1,13.0449408,80.19968
q,q,q,q,Marketing,q,Part-time,q,1,1,1,2025-05-01,2025-05-06,1,uploads\Screenshot 2025-05-05 134955.png,1,13.0449408,80.19968
q,q,q,q,Marketing,q,Part-time,q,1,1,1,2025-05-01,2025-05-06,1,uploads\Screenshot 2025-05-05 134955.png,1,13.0449408,80.19968
q,q,q,q,Marketing,q,Part-time,q,1,1,1,2025-05-01,2025-05-06,1,uploads\Screenshot 2025-05-05 134955.png,1,13.0449408,80.19968
1,1,1,1,IT,1,Part-time,1,1,1,1,2025-05-06,2025-05-06,1,uploads\Screenshot 2025-03-23 150757.png,2,13.0843007,80.2704622
1,1,1,1,IT,1,Part-time,1,1,1,1,2025-05-06,2025-05-06,1,uploads\Screenshot 2025-03-23 150757.png,2,13.0843007,80.2704622
1,1,1,1,IT,1,Part-time,1,1,1,1,2025-05-06,2025-05-06,1,uploads\Screenshot 2025-03-23 150757.png,2,13.0843007,80.2704622
2,2,2,2,Operations,2,Part-time,2,2,2,2,2025-05-06,2025-05-06,2,uploads\Screenshot 2025-03-27 113038.png,2,,
2,2,2,2,Operations,2,Part-time,2,2,2,2,2025-05-06,2025-05-06,2,uploads\Screenshot 2025-03-27 113038.png,2,,
2,2,2,2,Operations,2,Part-time,2,2,2,2,2025-05-06,2025-05-06,2,uploads\Screenshot 2025-03-27 113038.png,2,,
Driver,Needed drive for my own car,revelant experience in driving,10 th pass,dailywages,chennai,Full-time,office,1000,Own use,1,2025-05-06,2025-05-06,NA,uploads\Screenshot 2025-03-30 215206.png,2,13.0843007,80.2704622
Driver,Needed drive for my own car,revelant experience in driving,10 th pass,dailywages,chennai,Full-time,office,1000,Own use,1,2025-05-06,2025-05-06,NA,uploads\Screenshot 2025-03-30 215206.png,2,13.0843007,80.2704622
Driver,Needed drive for my own car,revelant experience in driving,10 th pass,dailywages,chennai,Full-time,office,1000,Own use,1,2025-05-06,2025-05-06,NA,uploads\Screenshot 2025-03-30 215206.png,2,13.0843007,80.2704622
Construction Laborer,"Carrying bricks, mixing cement, helping masons",NA,1yrs of experience,dailywages,"Tambaram,chennai",Contract,Construction site,5000,Casagrand,5,2025-05-12,2025-05-20,WELL DEVELOP CONSTRUCTION WE NEED LABOUR FOR WORK,uploads\civil-construction-work.jpg,1,13.1347085,80.036372
Construction Laborer,"Carrying bricks, mixing cement, helping masons",NA,1yrs of experience,dailywages,"Tambaram,chennai",Contract,Construction site,5000,Casagrand,5,2025-05-12,2025-05-20,WELL DEVELOP CONSTRUCTION WE NEED LABOUR FOR WORK,uploads\civil-construction-work.jpg,1,13.1347085,80.036372
Construction Laborer,"Carrying bricks, mixing cement, helping masons",NA,1yrs of experience,dailywages,"Tambaram,chennai",Contract,Construction site,5000,Casagrand,5,2025-05-12,2025-05-20,WELL DEVELOP CONSTRUCTION WE NEED LABOUR FOR WORK,uploads\civil-construction-work.jpg,1,13.1347085,80.036372
cleaner/sweaper,"Cleaning streets, buildings, toilets, offices",clean properly,0yrs,dailywages,"Velachery,chennai",Part-time,office,2000,home,3,2025-05-21,2025-05-24,na,uploads\clean.jpg,1,13.134712,80.0363696
cleaner/sweaper,"Cleaning streets, buildings, toilets, offices",clean properly,0yrs,dailywages,"Velachery,chennai",Part-time,office,2000,home,3,2025-05-21,2025-05-24,na,uploads\clean.jpg,1,13.134712,80.0363696
cleaner/sweaper,"Cleaning streets, buildings, toilets, offices",clean properly,0yrs,dailywages,"Velachery,chennai",Part-time,office,2000,home,3,2025-05-21,2025-05-24,na,uploads\clean.jpg,1,13.134712,80.0363696
vegetable helper,na,na,0,dailywages,"Guindy,Chennai",Full-time,office,2000,shop,1,2025-05-22,2025-05-26,na,uploads\fresh-vegetables-fruit-market-stall_1101-2560.avif,1,13.134712,80.0363696
vegetable helper,na,na,0,dailywages,"Guindy,Chennai",Full-time,office,2000,shop,1,2025-05-22,2025-05-26,na,uploads\fresh-vegetables-fruit-market-stall_1101-2560.avif,1,13.134712,80.0363696
vegetable helper,na,na,0,dailywages,"Guindy,Chennai",Full-time,office,2000,shop,1,2025-05-22,2025-05-26,na,uploads\fresh-vegetables-fruit-market-stall_1101-2560.avif,1,13.134712,80.0363696
 Garbage Collector, Garbage Collector,na,0,dailywages,"Tambaram,chennai",Part-time,office,500,HOME,5,2025-05-21,2025-05-27,NA,uploads\istockphoto-484191529-612x612.jpg,1,13.134712,80.0363696
 Garbage Collector, Garbage Collector,na,0,dailywages,"Tambaram,chennai",Part-time,office,500,HOME,5,2025-05-21,2025-05-27,NA,uploads\istockphoto-484191529-612x612.jpg,1,13.134712,80.0363696
 Garbage Collector, Garbage Collector,na,0,dailywages,"Tambaram,chennai",Part-time,office,500,HOME,5,2025-05-21,2025-05-27,NA,uploads\istockphoto-484191529-612x612.jpg,1,13.134712,80.0363696
PAINTING ,PANTING,1-2 YRS,0,dailywages,"Velachery,chennai",Contract,office,30000,NIPPON PAINT,10,2025-05-22,2025-05-30,NA,uploads\istockphoto-938085736-612x612.jpg,1,13.134712,80.0363696
PAINTING ,PANTING,1-2 YRS,0,dailywages,"Velachery,chennai",Contract,office,30000,NIPPON PAINT,10,2025-05-22,2025-05-30,NA,uploads\istockphoto-938085736-612x612.jpg,1,13.134712,80.0363696
PAINTING ,PANTING,1-2 YRS,0,dailywages,"Velachery,chennai",Contract,office,30000,NIPPON PAINT,10,2025-05-22,2025-05-30,NA,uploads\istockphoto-938085736-612x612.jpg,1,13.134712,80.0363696
ROAD MAINTAINCE WORKER,NA,0,0,dailywages,"Tambaram,chennai",Contract,office,3000,NA,10,2025-05-23,2025-05-28,NA,uploads\ROAD.jpg,1,13.134712,80.0363696
ROAD MAINTAINCE WORKER,NA,0,0,dailywages,"Tambaram,chennai",Contract,office,3000,NA,10,2025-05-23,2025-05-28,NA,uploads\ROAD.jpg,1,13.134712,80.0363696
ROAD MAINTAINCE WORKER,NA,0,0,dailywages,"Tambaram,chennai",Contract,office,3000,NA,10,2025-05-23,2025-05-28,NA,uploads\ROAD.jpg,1,13.134712,80.0363696
Data Entry Operator,DATA ENTRY UPSKILLED EXCEL AND MS WORD,NA,0+,IT,"Guindy,Chennai",Full-time,office,8000,TECHZ,2,2025-05-22,2025-05-26,NA,uploads\ENTRY.webp,1,13.134712,80.0363696
Data Entry Operator,DATA ENTRY UPSKILLED EXCEL AND MS WORD,NA,0+,IT,"Guindy,Chennai",Full-time,office,8000,TECHZ,2,2025-05-22,2025-05-26,NA,uploads\ENTRY.webp,1,13.134712,80.0363696
Data Entry Operator,DATA ENTRY UPSKILLED EXCEL AND MS WORD,NA,0+,IT,"Guindy,Chennai",Full-time,office,8000,TECHZ,2,2025-05-22,2025-05-26,NA,uploads\ENTRY.webp,1,13.134712,80.0363696
 Computer Lab Assistant,BASICS KNOWLEDGE OG SYSTEM,NA,0+,Engineering,"Velachery,chennai",Part-time,office,10000,NA,2,2025-05-22,2025-05-23,NA,uploads\ENTRY.webp,1,13.134712,80.0363696
 Computer Lab Assistant,BASICS KNOWLEDGE OG SYSTEM,NA,0+,Engineering,"Velachery,chennai",Part-time,office,10000,NA,2,2025-05-22,2025-05-23,NA,uploads\ENTRY.webp,1,13.134712,80.0363696
 Computer Lab Assistant,BASICS KNOWLEDGE OG SYSTEM,NA,0+,Engineering,"Velachery,chennai",Part-time,office,10000,NA,2,2025-05-22,2025-05-23,NA,uploads\ENTRY.webp,1,13.134712,80.0363696
Load Carrier ,NA,NA,NA,dailywages,"Guindy,Chennai",Part-time,office,500,NA,5,2025-05-17,2025-05-19,NA,uploads\LOAD.jpg,1,13.134712,80.0363696
Load Carrier ,NA,NA,NA,dailywages,"Guindy,Chennai",Part-time,office,500,NA,5,2025-05-17,2025-05-19,NA,uploads\LOAD.jpg,1,13.134712,80.0363696
